diagnosis,count,teşhis,description,department
poisoning due to analgesics,47,ağrı kesiciden kaynaklanan zehirlenme,"Ağrı kesici kullanımı ile oluşan zehirlenme türüdür.",dahiliye
nonalcoholic liver disease (nash),47,alkolsüz karaciğer hastalığı,"Daha önce alkolsüz yağlı karaciğer hastalığı olarak bilinen metabolik fonksiyon bozukluğu ile ilişkili steatotik karaciğer hastalığı, bir tür kronik karaciğer hastalığıdır. Bu durum, karaciğerde aşırı yağ birikmesi ve en az bir metabolik risk faktörü olduğunda teşhis edilir.",gastroenteroloji
injury to the abdomen,46,karın yaralanması,"Karın bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, şişlik ve hassasiyet gibi belirtilerle kendini gösterebilir.",genel cerrahi
ovarian torsion,45,yumurtalık tarsiyonu,"Torsiyon, dönmek anlamına gelir ve yumurtalık dönmesi varsa yumurtalığınızın yaptığı tam olarak budur. Bu rahatsızlığa sahip çoğu kişide yumurtalığın dönmesine neden olan büyük kistler bulunur. Acil müdahale edilmezse, dönme yumurtalığa giden kan akışını durdurabilir ve dokunun ölmesine neden olabilir.",kadın hastalıkları ve doğum
spermatocele,45,spermatosel,"Spermatosel, testislerin üst kısmında bulunan epididimisin içinde sıvı dolu bir kisttir. Genellikle ağrısızdır ve tedavi gerektirmez.",üroloji
lice,44,bit,"Bit, insan vücudunda yaşayan parazitlerdir. Genellikle kaşıntı, kızarıklık ve enfeksiyon gibi belirtilerle kendini gösterebilir.",dermatoloji
drug abuse (barbiturates),44,ilaç bağımlılığı,"Barbitüratların aşırı kullanımı ile karakterize olan bir durumdur. Genellikle yorgunluk, baş dönmesi ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",psikiyatri
hypothyroidism,43,hipotiroidizm,"Tiroid bezinin normalden az çalışması ile karakterize olan bir durumdur. Genellikle yorgunluk, kilo alımı ve soğuk intoleransı gibi belirtilerle kendini gösterebilir.",endokrinoloji
atonic bladder,43,atonik mesane,"Mesanenin normalden farklı çalışması ile karakterize olan bir durumdur. Genellikle idrar kaçırma, sık idrara çıkma ve idrar yapmada zorluk gibi belirtilerle kendini gösterebilir.",üroloji
hypertension of pregnancy,42,gebelik hipertansiyonu,"Hamilelik sırasında meydana gelen yüksek tansiyon ile karakterize olan bir durumdur. Genellikle baş ağrısı, görme bozuklukları ve ödem gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
endophthalmitis,42,endoftalmit,"Gözün iç kısmının iltihaplanması ile karakterize olan bir durumdur. Genellikle görme kaybı, gözde ağrı ve kızarıklık gibi belirtilerle kendini gösterebilir.",göz hastalıkları
injury to the knee,41,diz yaralanması,"Diz bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
presbyacusis,41,presbiakuzi,"Yaşlanmaya bağlı işitme kaybı ile karakterize olan bir durumdur. Genellikle yüksek frekanslı sesleri duymada zorluk, kulak çınlaması ve sosyal izolasyon gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
hydatidiform mole,41,hidatiform mol,"Hidatiform mol, anormal bir gebelik türüdür. Genellikle vajinal kanama, bulantı ve karın ağrısı gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
amyotrophic lateral sclerosis (als),39,amyotrofik lateral skleroz,"Kasların zayıflaması ve erimesi ile karakterize olan bir durumdur. Genellikle kas güçsüzlüğü, kas krampları ve yutma zorluğu gibi belirtilerle kendini gösterebilir.",nöroloji
burn,39,yanık,"Cildin veya dokuların aşırı sıcaklık, kimyasal maddeler veya elektrikle hasar görmesi ile karakterize olan bir durumdur. Genellikle ağrı, kızarıklık ve kabarcıklar gibi belirtilerle kendini gösterebilir.",acil tıp
pityriasis rosea,39,pityriasis rosea,"Ciltte meydana gelen, genellikle kaşıntı, döküntü ve kızarıklık ile karakterize olan bir durumdur.",dermatoloji
dislocation of the shoulder,39,omuz çıkığı,"Omuzun normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
hormone disorder,38,hormon bozukluğu,"Vücuttaki hormonların normalden farklı çalışması ile karakterize olan bir durumdur. Genellikle kilo değişiklikleri, ruh hali değişiklikleri ve cilt sorunları gibi belirtilerle kendini gösterebilir.",endokrinoloji
lichen simplex,38,liken simplex,"Ciltte meydana gelen, genellikle kaşıntı, döküntü ve kızarıklık ile karakterize olan bir durumdur.",dermatoloji
guillain barre syndrome,38,guillain barre sendromu,"Bağışıklık sisteminin sinir hücrelerine saldırması ile karakterize olan bir durumdur. Genellikle kas güçsüzlüğü, uyuşma ve refleks kaybı gibi belirtilerle kendini gösterebilir.",nöroloji
endometrial hyperplasia,38,rahim içi hiperplazi,"Rahim içindeki dokunun anormal büyümesi ile karakterize olan bir durumdur. Genellikle vajinal kanama, ağrı ve kilo kaybı gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
lung cancer,37,akciğer kanseri,"Akciğer dokusunda meydana gelen, genellikle öksürük, nefes darlığı ve kilo kaybı gibi belirtilerle kendini gösterebilir.",göğüs hastalıkları
hematoma,36,hematom,"Kanamanın dokular arasında birikmesi ile karakterize olan bir durumdur. Genellikle ağrı, şişlik ve morarma gibi belirtilerle kendini gösterebilir.",acil tıp
idiopathic infrequent menstruation,35,idiyopatik seyrek adet,"Sebebi bilin
mittelschmerz,35,mittelschmerz,"Ovulasyon sırasında meydana gelen ağrıdır. Genellikle karın ağrısı, bulantı ve hafif kanama gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
cervical disorder,35,rahim ağzı hastalığı,"Rahim ağzının normalden farklı çalışması ile karakterize olan bir durumdur. Genellikle vajinal kanama, ağrı ve cinsel ilişki sırasında ağrı gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
pseudotumor cerebri,34,pseudotümör serebri,"Beyin sıvısının aşırı birikmesi ile karakterize olan bir durumdur. Genellikle baş ağrısı, görme kaybı ve bulantı gibi belirtilerle kendini gösterebilir.",nöroloji
poisoning due to anticonvulsants,33,antikonvülsan zehirlenmesi,"Antikonvülsan ilaçların aşırı dozda alınması ile karakterize olan bir durumdur. Genellikle baş dönmesi, yorgunluk ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",nöroloji
multiple myeloma,33,multipl miyelom,"Kemik iliğinde meydana gelen, genellikle kemik ağrısı, yorgunluk ve enfeksiyonlara yatkınlık gibi belirtilerle kendini gösterebilir.",onkoloji
whooping cough,33,boğmaca,"Bordetella pertussis bakterisinin neden olduğu, genellikle öksürük, burun akıntısı ve ateş ile karakterize olan bir enfeksiyondur.",enfeksiyon hastalıkları
amblyopia,32,ambliyopi,"Gözlerin normalden farklı çalışması ile karakterize olan bir durumdur. Genellikle bulanık görme, göz yorgunluğu ve baş ağrısı gibi belirtilerle kendini gösterebilir.",göz hastalıkları
hypocalcemia,32,hipokalsemi,"Kanda kalsiyum seviyesinin normalden düşük olması ile karakterize olan bir durumdur. Genellikle kas kram
ectropion,32,ektropion,"Göz kapağının dışa doğru dönmesi ile karakterize olan bir durumdur. Genellikle gözde sulanma, kızarıklık ve enfeksiyon gibi belirtilerle kendini gösterebilir.",göz hastalıkları
neuropathy due to drugs,32,ilaç kaynaklı nöropati,"İlaçların neden olduğu sinir hasarı ile karakterize olan bir durumdur. Genellikle uyuşma, karıncalanma ve kas zayıflığı gibi belirtilerle kendini gösterebilir.",nöroloji
chondromalacia of the patella,31,patella kondromalazisi,"Diz kapağının kıkırdağının yumuşaması ile karakterize olan bir durumdur. Genellikle diz ağrısı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
anemia due to chronic kidney disease,31,kronik böbrek hastalığına bağlı anemi,"Kronik böbrek hastalığı nedeniyle meydana gelen anemidir. Genellikle yorgunluk, solukluk ve nefes darlığı gibi belirtilerle kendini gösterebilir.",dahiliye
cysticercosis,31,sistiserkoz,"Taenia solium parazitinin neden olduğu, genellikle baş ağrısı, nöbetler ve kas zayıflığı gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
atrophy of the corpus cavernosum,30,korpus kavernozum atro,"Penis içindeki erektil dokunun küçülmesi veya zayıflaması durumudur. Genellikle erektil disfonksiyon, ağrı ve cinsel işlev bozukluğu gibi belirtilerle kendini gösterebilir.",üroloji
scleritis,29,sklerit,"Sklerit yani sklera iltihabı, gözün beyaz kısmı olan skleranın otoimmün hastalıklar, eklem iltihapları ve çeşitli tıbbi hastalıklara sonucunda iltihaplanmasıdır. Düzensiz olarak görülen regl kanamaları nedeniyle de oluşabilir. Bu nedenle kadınlarda erkeklere oranla daha sık görülür.",göz hastalıkları
polycythemia vera,29,polisitemi vera,"Kırmızı kan hücrelerinin aşırı üretimi ile karakterize olan bir durumdur. Genellikle baş ağrısı, yorgunluk ve ciltte kızarıklık gibi belirtilerle kendini gösterebilir.",hematoloji
folate deficiency,29,folik asit eksikliği,"Vücutta folik asit seviyesinin düşük olması durumudur. Genellikle yorgunluk, soluk cilt ve konsantrasyon zorluğu gibi belirtilerle kendini gösterebilir.",dahiliye
liver cancer,28,karaciğer kanseri,"Karaciğer dokusunda meydana gelen, genellikle yorgunluk, sarılık ve karın ağrısı gibi belirtilerle kendini gösterebilir.",onkoloji
mumps,28,kabakulak,"Kabakulak virüsünün neden olduğu, genellikle ateş, baş ağrısı ve tükürük bezlerinde şişlik ile karakterize olan bir enfeksiyondur.",enfeksiyon hastalıkları
neonatal jaundice,28,yenidoğan sarılığı,"Yenidoğan bebeklerde görülen, genellikle ciltte ve gözlerde sararma ile karakterize olan bir durumdur. Genellikle doğumdan sonraki ilk haftalarda ortaya çıkar.",pediatri
erythema multiforme,28,erythema multiforme,"Ciltte meydana gelen, genellikle döküntü, kaşıntı ve kızarıklık ile karakterize olan bir durumdur.",dermatoloji
fracture of the ankle,27,ayak bileği kırığı,"Ayak bileğinin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
metabolic disorder,27,metabolik bozukluk,"Vücuttaki metabolizmanın normalden farklı çalışması ile karakterize olan bir durumdur. Genellikle kilo değişiklikleri, yorgunluk ve sindirim sorunları gibi belirtilerle kendini gösterebilir.",endokrinoloji
acanthosis nigricans,27,akanthosis nigrikans,"Ciltte koyu renkli, kalınlaşmış alanların oluşması ile karakterize olan bir durumdur. Genellikle insülin direnci, obezite ve diyabet ile ilişkilidir.",dermatoloji
muscular dystrophy,27,kas distrofisi,"Kasların zayıflaması ve erimesi ile karakterize olan genetik bir hastalıktır. Genellikle kas güçsüzlüğü, yorgunluk ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",nöroloji
fracture of the neck,26,boyun kırığı,"Boyun bölgesinin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",nöroloji
allergy to animals,26,hayvan alerjisi,"Hayvanların tüyleri, salyaları veya idrarları ile tetiklenen alerjik reaksiyonlardır. Genellikle kaşıntı, burun akıntısı ve gözlerde sulanma gibi belirtilerle kendini gösterebilir.",dermatoloji
urethral valves,26,üretral valfler,"Üretra içinde anormal doku oluşumlarıdır. Genellikle idrar akışında zorluk, idrar yolu enfeksiyonları ve böbrek hasarı gibi belirtilerle kendini gösterebilir.",üroloji
injury to the spinal cord,26,omurilik yaralanması,"Omuriliğin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, uyuşma ve hareket kaybı gibi belirtilerle kendini gösterebilir.",nöroloji
premature ovarian failure,26,erken yumurtalık yetmezliği,"Yumurtalıkların normalden önce işlevini kaybetmesi ile karakterize olan bir durumdur. Genellikle adet düzensizlikleri, sıcak basmaları ve ciltte değişiklikler gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
bunion,26,bunion,"Ayak baş parmağının dışa doğru çıkıntı yapması ile karakterize olan bir durumdur. Genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
hepatic encephalopathy,26,karaciğer ensefalopatisi,"Karaciğerin normalden farklı çalışması sonucu meydana gelen, genellikle kafa karışıklığı, uyku bozuklukları ve davranış değişiklikleri gibi belirtilerle kendini gösterebilir.",nöroloji
infection of open wound,26,açık yarada enfeksiyon,"Açık yaraların enfekte olması ile karakterize olan bir durumdur. Genellikle ağrı, kızarıklık ve ateş gibi belirtilerle kendini gösterebilir.",acil tıp
normal pressure hydrocephalus,26,normal basınçlı hidrosefali,"Beyin sıvısının aşırı birikmesi ile karakterize olan bir durumdur. Genellikle baş ağrısı, yürüme zorluğu ve idrar kaçırma gibi belirtilerle kendini gösterebilir.",nöroloji
anemia of chronic disease,25,kronik hastalık anemisi,"Kronik hastalıkların neden olduğu anemidir. Genellikle yorgunluk, solukluk ve nefes darlığı gibi belirtilerle kendini gösterebilir.",dahiliye
intestinal cancer,25,bağırsak kanseri,"Bağırsak dokusunda meydana gelen, genellikle karın ağrısı, kilo kaybı ve dışkıda kan gibi belirtilerle kendini gösterebilir.",gastroenteroloji
dislocation of the vertebra,25,omurga çıkığı,"Omurganın normalden farklı çalışması sonucu meydana gelen, genellikle sırt ağrısı, hareket kısıtlılığı ve sinir hasarı gibi belirtilerle kendini gösterebilir.",nöroloji
syphilis,24,sifiliz,"Treponema pallidum bakterisinin neden olduğu, genellikle ciltte yaralar, ateş ve lenf bezlerinde şişlik ile karakterize olan bir enfeksiyondur.",enfeksiyon hastalıkları
flat feet,24,düz tabanlık,"Ayak kemerinin normalden düşük olması ile karakterize olan bir durumdur. Genellikle ayak ağrısı, yorgunluk ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
open wound of the ear,24,açık kulak yarası,"Kulak bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, şişlik ve enfeksiyon gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
pituitary disorder,24,hipofiz hastalığı,"Hipofiz bezinin normalden farklı çalışması ile karakterize olan bir durumdur. Genellikle hormon dengesizlikleri, baş ağrısı ve görme bozuklukları gibi belirtilerle kendini gösterebilir.",endokrinoloji
dislocation of the wrist,24,bilek çıkığı,"Bileğin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
magnesium deficiency,24,magnezyum eksikliği,"Vücutta magnezyum seviyesinin düşük olması durumudur. Genellikle kas krampları, yorgunluk ve kalp ritim bozuklukları gibi belirtilerle kendini gösterebilir.",dahiliye
primary immunodeficiency,24,birincil bağışıklık yetmezliği,"Bağışıklık sisteminin normalden farklı çalışması ile karakterize olan bir durumdur. Genellikle enfeksiyonlara yatkınlık, yorgunluk ve ciltte yaralar gibi belirtilerle kendini gösterebilir.",immunoloji
poisoning due to antidepressants,23,antidepresan zehirlenmesi,"Antidepresan ilaçların aşırı dozda alınması ile karakterize olan bir durumdur. Genellikle baş dönmesi, yorgunluk ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",psikiyatri
hemolytic anemia,23,hemolitik anemi,"Kırmızı kan hücrelerinin parçalanması ile karakterize olan bir durumdur. Genellikle yorgunluk, solukluk ve sarılık gibi belirtilerle kendini gösterebilir.",dahiliye
adrenal adenoma,23,adrenal adenoma,"Böbrek üstü bezinde meydana gelen, genellikle hormon dengesizlikleri, kilo değişiklikleri ve yorgunluk gibi belirtilerle kendini gösterebilir.",endokrinoloji
anal fistula,22,anal fistül,"Anüs çevresinde meydana gelen, genellikle ağrı, kanama ve enfeksiyon gibi belirtilerle kendini gösterebilir.",genel cerrahi
open wound of the neck,22,açık boyun yarası,"Boyun bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, şişlik ve enfeksiyon gibi belirtilerle kendini gösterebilir.",genel cerrahi
acariasis,22,akar hastalığı,"Akarların neden olduğu enfeksiyonlardır. Genellikle kaşıntı, kızarıklık ve döküntü gibi belirtilerle kendini gösterebilir.",dermatoloji
juvenile rheumatoid arthritis,20,juvenil romatoid artrit,"Çocuklarda görülen, genellikle eklem ağrısı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",romatoloji
primary kidney disease,20,birincil böbrek hastalığı,"Böbreklerin normalden farklı çalışması ile karakterize olan bir durumdur. Genellikle idrar değişiklikleri, şişlik ve yorgunluk gibi belirtilerle kendini gösterebilir.",dahiliye
tourette syndrome,20,tourette sendromu,"Tourette sendromu, istemsiz hareketler ve sesler ile karakterize olan bir durumdur. Genellikle tikler, yorgunluk ve sosyal izolasyon gibi belirtilerle kendini gösterebilir.",nöroloji
open wound of the lip,20,açık dudak yarası,"Dudak bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, şişlik ve enfeksiyon gibi belirtilerle kendini gösterebilir.",genel cerrahi
trichiasis,20,trihiyazis,"Kirpiklerin gözün içine doğru büyümesi ile karakterize olan bir durumdur. Genellikle gözde tahriş, sulanma ve enfeksiyon gibi belirtilerle kendini gösterebilir.",göz hastalıkları
gestational diabetes,19,gebelik diyabeti,"Hamilelik sırasında meydana gelen yüksek kan şekeri ile karakterize olan bir durumdur. Genellikle yorgunluk, aşırı susama ve sık idrara çıkma gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
viral hepatitis,19,viral hepatit,"Viral enfeksiyonların neden olduğu karaciğer iltihabıdır. Genellikle sarılık, karın ağrısı ve yorgunluk gibi belirtilerle kendini gösterebilir.",gastroenteroloji
subacute thyroiditis,19,subakut tiroidit,"Tiroid bezinin iltihaplanması ile karakterize olan bir durumdur. Genellikle boyun ağrısı, ateş ve yorgunluk gibi belirtilerle kendini gösterebilir.",endokrinoloji
open wound of the eye,19,açık göz yarası,"Göz bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, kızarıklık ve görme kaybı gibi belirtilerle kendini gösterebilir.",göz hastalıkları
open wound of the foot,18,açık ayak yarası,"Ayak bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, şişlik ve enfeksiyon gibi belirtilerle kendini gösterebilir.",genel cerrahi
metastatic cancer,18,metastatik kanser,"Kanserin vücudun diğer bölgelerine yayılması ile karakterize olan bir durumdur. Genellikle ağrı, kilo kaybı ve yorgunluk gibi belirtilerle kendini gösterebilir.",onkoloji
congenital heart defect,18,doğuştan kalp hastalığı,"Kalbin normalden farklı çalışması ile karakterize olan bir durumdur. Genellikle nefes darlığı, yorgunluk ve morarma gibi belirtilerle kendini gösterebilir.",kardiyoloji
hirsutism,18,hirsutizm,"Kadınlarda aşırı kıllanma ile karakterize olan bir durumdur. Genellikle yüz, göğüs ve sırt bölgelerinde aşırı kıllanma gibi belirtilerle kendini gösterebilir.",endokrinoloji
pituitary adenoma,18,hipofiz adenomu,"Hipofiz bezinde meydana gelen, genellikle baş ağrısı, görme bozuklukları ve hormon dengesizlikleri gibi belirtilerle kendini gösterebilir.",endokrinoloji
emphysema,17,amfizem,"Akciğerlerde hava keseciklerinin genişlemesi ile karakterize olan bir durumdur. Genellikle nefes darlığı, öksürük ve hırıltılı solunum gibi belirtilerle kendini gösterebilir.",göğüs hastalıkları
floaters,17,floater,"Gözde görülen, genellikle göz hareketleri ile hareket eden küçük lekeler veya iplikçiklerdir. Genellikle yaşlanma ile ilişkilidir ve genellikle zararsızdır.",göz hastalıkları
foreign body in the ear,17,kulakta yabancı cisim,"Kulak içinde bulunan yabancı cisimlerdir. Genellikle ağrı, işitme kaybı ve enfeksiyon gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
cholesteatoma,17,kolesteatom,"Kulak içinde meydana gelen, genellikle işitme kaybı, kulak ağrısı ve enfeksiyon gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
neurofibromatosis,17,nörofibromatozis,"Sinir sistemi tümörlerinin neden olduğu genetik bir hastalıktır. Genellikle ciltte lezyonlar, işitme kaybı ve öğrenme güçlükleri gibi belirtilerle kendini gösterebilir.",nöroloji
parathyroid adenoma,16,paratiroid adenomu,"Paratiroid bezinde meydana gelen, genellikle kalsiyum dengesizlikleri, yorgunluk ve kas zayıflığı gibi belirtilerle kendini gösterebilir.",endokrinoloji
mastectomy,16,mastektomi,"Meme dokusunun cerrahi olarak çıkarılması ile karakterize olan bir durumdur. Genellikle meme kanseri tedavisinde kullanılır.",genel cerrahi
bone spur of the calcaneous,16,kalkaneus osteofiti,"Kalkaneus kemiğinde meydana gelen, genellikle ayak ağrısı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
hirschsprung disease,16,hirschsprung hastalığı,"Bağırsakların normalden farklı çalışması ile karakterize olan bir durumdur. Genellikle kabızlık, karın ağrısı ve şişlik gibi belirtilerle kendini gösterebilir.",pediatri
vitreous hemorrhage,15,vitreus kanaması,"Gözde meydana gelen, genellikle görme kaybı, bulanık görme ve gözde kararma gibi belirtilerle kendini gösterebilir.",göz hastalıkları
peyronie disease,15,peyronie hastalığı,"Peniste meydana gelen, genellikle ağrı, eğrilik ve sertleşme gibi belirtilerle kendini gösterebilir.",üroloji
female infertility of unknown cause,15,bilinmeyen nedenli kadın kısırlığı,"Kadınlarda kısırlığın nedeni bilinmediği durumdur. Genellikle adet düzensizlikleri, hormonal dengesizlikler ve yumurtlama sorunları gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
injury to the hip,15,kalça yaralanması,"Kalça bölgesinin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
dislocation of the foot,14,ayak çıkığı,"Ayak bölgesinin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
meningioma,14,meningiom,"Beyin zarlarında meydana gelen, genellikle baş ağrısı, nöbetler ve görme bozuklukları gibi belirtilerle kendini gösterebilir.",nöroloji
vertebrobasilar insufficiency,14,vertebrobaziler yetmezlik,"Beyin kan akışının azalması ile karakterize olan bir durumdur. Genellikle baş dönmesi, denge kaybı ve görme bozuklukları gibi belirtilerle kendini gösterebilir.",nöroloji
tuberculosis,14,tüberküloz,"Mycobacterium tuberculosis bakterisinin neden olduğu, genellikle öksürük, ateş ve kilo kaybı gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
thyroid disease,14,tiroid hastalığı,"Tiroid bezinin normalden farklı çalışması ile karakterize olan bir durumdur. Genellikle kilo değişiklikleri, yorgunluk ve ciltte değişiklikler gibi belirtilerle kendini gösterebilir.",endokrinoloji
otosclerosis,14,otoskleroz,"Kulak içinde meydana gelen, genellikle işitme kaybı, kulak çınlaması ve denge sorunları gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
pharyngitis,13,farengit,"Boğaz iltihabı ile karakterize olan bir durumdur. Genellikle boğaz ağrısı, yutma zorluğu ve ateş gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
moyamoya disease,13,moyamoya hastalığı,"Beyin damarlarının daralması ile karakterize olan bir durumdur. Genellikle baş ağrısı, nöbetler ve felç gibi belirtilerle kendini gösterebilir.",nöroloji
placental abruption,13,plasenta abrupsiyonu,"Plasentanın rahim duvarından ayrılması ile karakterize olan bir durumdur. Genellikle kanama, karın ağrısı ve fetal kalp atışlarında değişiklik gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
dislocation of the finger,13,parmak çıkığı,"Parmağın normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
ovarian cancer,13,yumurta kanseri,"Yumurtalık dokusunda meydana gelen, genellikle karın ağrısı, kilo kaybı ve adet düzensizlikleri gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
vitamin d deficiency,13,vitamin d eksikliği,"Vücutta vitamin D seviyesinin düşük olması durumudur. Genellikle kemik ağrısı, kas zayıflığı ve yorgunluk gibi belirtilerle kendini gösterebilir.",dahiliye
hyperhidrosis,13,hiperhidroz,"Aşırı terleme ile karakterize olan bir durumdur. Genellikle el, ayak ve koltuk altlarında aşırı terleme gibi belirtilerle kendini gösterebilir.",dermatoloji
lymphogranuloma venereum,13,lenfogranüloma venerum,"Chlamydia trachomatis bakterisinin neden olduğu, genellikle genital bölgede şişlik, ağrı ve lenf bezlerinde şişlik ile karakterize olan bir enfeksiyondur.",enfeksiyon hastalıkları
granuloma inguinale,12,granüloma inguinale,"Küçük, ağrısız yaralar ile karakterize olan, genellikle ciltte lezyonlar ve lenf bezlerinde şiş
kidney disease due to longstanding hypertension,12,hipertansiyona bağlı böbrek hastalığı,"Uzun süreli yüksek tansiyonun neden olduğu böbrek hastalığıdır. Genellikle idrar değişiklikleri, şişlik ve yorgunluk gibi belirtilerle kendini gösterebilir.",dahiliye
hemophilia,12,hemofili,"Kanın pıhtılaşma yeteneğinin azalması ile karakterize olan genetik bir hastalıktır. Genellikle kanama, morarma ve eklem ağrısı gibi belirtilerle kendini gösterebilir.",hematoloji
dislocation of the ankle,12,ayak bileği çıkığı,"Ayak bileğinin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
abscess of the lung,12,akciğer apsesi,"Akciğer dokusunda meydana gelen, genellikle öksürük, ateş ve göğüs ağrısı gibi belirtilerle kendini gösterebilir.",göğüs hastalıkları
hypothermia,12,hipotermi,"Vücut sıcaklığının normalden düşük olması ile karakterize olan bir durumdur. Genellikle titreme, yorgunluk ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",acil tıp
breast cyst,12,meme kisti,"Meme dokusunda meydana gelen, genellikle ağrı, şişlik ve hassasiyet gibi belirtilerle kendini gösterebilir.",genel cerrahi
poisoning due to ethylene glycol,12,etilen glikol zehirlenmesi,"Etilen glikolün aşırı dozda alınması ile karakterize olan bir durumdur. Genellikle baş ağrısı, bulantı ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",acil tıp
glucocorticoid deficiency,12,glukokortikoid eksikliği,"Vücutta glukokortikoid hormonlarının düşük olması ile karakterize olan bir durumdur. Genellikle yorgunluk, kilo kaybı ve kas zayıflığı gibi belirtilerle kendini gösterebilir.",endokrinoloji
pyloric stenosis,12,pilorik stenoz,"Mide çıkışında meydana gelen daralma ile karakterize olan bir durumdur. Genellikle kusma, karın ağrısı ve kilo kaybı gibi belirtilerle kendini gösterebilir.",pediatri
wilson disease,11,wilson hastalığı,"Bakır metabolizmasının bozulması ile karakterize olan genetik bir hastalıktır. Genellikle karaciğer, beyin ve gözlerde bakır birikimi ile kendini gösterebilir.",dahiliye
chronic inflammatory demyelinating polyneuropathy (cidp),11,kronik inflamatuar demiyelinizan polinöropati,"Sinirlerin iltihaplanması ile karakterize olan bir durumdur. Genellikle kas güçsüzlüğü, uyuşma ve ağrı gibi belirtilerle kendini gösterebilir.",nöroloji
ependymoma,11,ependimom,"Beyin zarlarında meydana gelen, genellikle baş ağrısı, nöbetler ve görme bozuklukları gibi belirtilerle kendini gösterebilir.",nöroloji
